职位,工作地址,公司全称,薪水,学历,工作经验,行业标签
Java,上海·浦东新区·陆家嘴,蚂蚁金服,15-25K,本科,在校/应届,互联网
java研发工程师,上海·浦东新区·联洋,阿里巴巴集团,18-30K·13薪,本科,在校/应届,互联网
中间件java研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·20薪,本科,在校/应届,移动互联网
蚂蚁金服大安全Java研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-35K·17薪,本科,在校/应届,互联网
Java,上海·浦东新区·张江,兴业数金,12-15K·17薪,本科,在校/应届,互联网
Java,上海·浦东新区·唐镇,兴业数金,10-15K·15薪,本科,在校/应届,互联网
蚂蚁金服大安全应届校招——JAVA,上海·浦东新区·陆家嘴,支付宝,15-30K·17薪,本科,在校/应届,移动互联网
Java,上海·普陀区·长征,阿里集团,15-21K,本科,在校/应届,移动互联网
Java,上海·普陀区·长征,饿了么,15-30K·13薪,硕士,在校/应届,O2O
研发工程师JAVA,上海·浦东新区·世纪公园,阿里云,15-25K·15薪,硕士,在校/应届,互联网
阿里淘系技术部22届春招-JAVA,上海·浦东新区·联洋,阿里巴巴集团,25-35K·16薪,本科,在校/应届,互联网
研发工程师Java,上海·浦东新区·联洋,阿里巴巴集团,20-40K,本科,在校/应届,互联网
JAVA研发工程师,上海·浦东新区·陆家嘴,阿里巴巴集团,15-25K,硕士,在校/应届,互联网
数字政务中台Java研发工程师,上海·浦东新区·联洋,阿里巴巴集团,18-25K·13薪,本科,在校/应届,互联网
Java,上海·浦东新区·陆家嘴,支付宝,6-9K,本科,在校/应届,移动互联网
Java/C++开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,3-8K,硕士,在校/应届,互联网
通讯软件开发（Java）,上海·浦东新区·张江,传音控股,3-4K,本科,在校/应届,移动互联网
Java,上海·浦东新区·金桥,华为,18-30K·15薪,本科,在校/应届,计算机软件
Java,上海·普陀区·长征,蚂蚁金服,15-30K·16薪,博士,在校/应届,互联网
研发工程师Java,上海·浦东新区·联洋,阿里巴巴集团,15-30K,本科,在校/应届,互联网
Java/PHP工程师,上海·徐汇区·龙华,融然系元,7-12K,本科,在校/应届,计算机软件
Java,上海·浦东新区·联洋,阿里集团,20-40K·16薪,本科,在校/应届,移动互联网
Java,上海·浦东新区·联洋,阿里集团,20-40K,本科,在校/应届,移动互联网
中间件java研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·20薪,本科,在校/应届,移动互联网
Android开发工程师（java）,上海·浦东新区·张江,传音控股,3-4K,本科,在校/应届,移动互联网
Java,上海·浦东新区·联洋,阿里巴巴集团,20-21K,本科,在校/应届,互联网
阿里巴巴本地生活应届校招-java研发,上海·普陀区·长征,支付宝口碑,15-20K·15薪,本科,在校/应届,O2O
阿里巴巴2021届校园招聘-Java/测试/前端,上海·浦东新区·联洋,阿里巴巴集团,20-30K,本科,在校/应届,互联网
Java,上海·浦东新区·张江,兴业数金,15-18K,本科,在校/应届,互联网
java软件调试员,上海·徐汇区·康健,上海望特能源,6-7K·13薪,大专,在校/应届,计算机软件
Java研发工程师,上海,饿了么,19-20K,本科,在校/应届,O2O
阿里-C2M-22届校招-Java,上海·闵行区·华漕,阿里巴巴集团,20-40K,不限,在校/应届学历,互联网
Java,上海·浦东新区·陆家嘴,蚂蚁金服,15-30K,本科,在校/应届,互联网
蚂蚁金服22届校招Java实习,上海·浦东新区·陆家嘴,蚂蚁金服,15-30K,本科,在校/应届,互联网
Java软件工程师,上海·普陀区·长征,上海拉浪,7-11K,本科,在校/应届,电子商务
java软件工程师,上海·浦东新区·张江,群之脉,6-11K,本科,在校/应届,计算机软件
软件（java，前端，测试）实习生,上海·浦东新区·三林,策普信息,3-5K,本科,在校/应届,计算机软件
Java研发工程师—2022届实习岗,上海,蚂蚁集团,18-20K,本科,在校/应届,互联网
Java,上海·浦东新区·陆家嘴,上海华瑞银行,10-15K,本科,在校/应届,互联网金融
Java研发实习生,上海·浦东新区·陆家嘴,支付宝,15-30K,本科,在校/应届,移动互联网
Java交付工程师-21届校招,上海·浦东新区·张江,邦盛科技,7-9K·13薪,本科,在校/应届,互联网
IT校招—研发类（JAVA）,上海·青浦区·青浦城区,中通吉网络技术,8-13K·13薪,本科,在校/应届,物流/仓储
JAVA助理工程师(J10364),上海,锅圈供应链(总部),5-8K·13薪,本科,在校/应届,新零售
Java,上海·闵行区·莘庄,哈啰出行,16-22K·14薪,本科,在校/应届,互联网
Java/Android工程师(校招/实习),上海·浦东新区·张江,兴业数金,12-24K,本科,在校/应届,互联网
