职位,工作地址,公司全称,薪水,学历,工作经验,行业标签
web前端,上海·杨浦区·五角场,小酱软件,13-26K,本科,在校/应届,互联网
web前端,上海·浦东新区·金桥,数策股份,3-4K,本科,在校/应届,计算机软件
前端工程师,上海·浦东新区·张江,阿里集团,5-10K,本科,在校/应届,移动互联网
web前端,上海·虹口区·四川北路,往圣继学信息科技,8-10K,本科,在校/应届,计算机软件
前端工程师,上海,阿里巴巴集团,20-40K·13薪,本科,在校/应届,互联网
web前端,上海·松江区·新桥,上海雁文,6-7K,本科,在校/应届,互联网
web前端,上海·静安区·火车站,会翼,10-11K,本科,在校/应届,计算机软件
web前端（应届）,上海·徐汇区·徐家汇,派鼎商务咨询,6-8K,本科,在校/应届,咨询
web前端（应届/实习生）,上海·浦东新区·世博,柯伊柏,5-8K,不限,在校/应届学历,移动互联网
Web前端实习生,上海·浦东新区·张江,上海一里井,2-3K,本科,在校/应届,广告营销
前端工程师,上海·浦东新区·张江,兰亭高创科技,8-10K,本科,在校/应届,电子商务
前端工程师,上海·徐汇区·徐家汇,拓体信息科技,6-10K,本科,在校/应届,互联网
前端开发工程师-商业化技术,上海·闵行区·虹梅路,北京字节跳动,15-30K·15薪,不限,在校/应届学历,移动互联网
校招 - Web 前端工程师,上海·浦东新区·世博,SmartX,12-24K·16薪,本科,在校/应届,计算机软件
Web前端研发工程师,上海·长宁区·古北,拼多多,16-32K,不限,在校/应届学历,移动互联网
前端实习生,上海·浦东新区·陆家嘴,蚂蚁金服,15-20K·15薪,本科,在校/应届,互联网金融
前端开发-抖音电商,上海·杨浦区·五角场,北京字节跳动,20-40K,不限,在校/应届学历,移动互联网
web前端,上海·浦东新区·张江,兴业数金,12-24K,本科,在校/应届,互联网
web前端,上海·浦东新区·张江,百度,15-21K·15薪,本科,在校/应届,互联网
web前端全栈开发工程师,上海,闪马智能,12-24K·15薪,本科,在校/应届,计算机软件
web前端,上海·黄浦区·人民广场,怡海数据,8-12K,本科,在校/应届,计算机软件
前端工程师,上海·宝山区·高境,爱用科技,4-8K,不限,在校/应届学历,电子商务
web前端,上海·闵行区·虹桥,昕颐科技,10-15K,大专,在校/应届,计算机软件
前端开发工程师（校招）,上海·浦东新区·张江,兴业数金,12-24K,本科,在校/应届,互联网
前端工程师,上海·闵行区·浦江,鱼漾智能,8-13K,本科,在校/应届,移动互联网
前端工程师,上海·崇明区·东平森林公园,上海飒斐科技中心...,10-15K,本科,在校/应届,移动互联网
阿里巴巴2020实习生招聘,上海·普陀区·长征,饿了么,20-40K·16薪,本科,在校/应届,O2O
前端工程师,上海·松江区·新桥,上海雁文,6-7K,本科,在校/应届,互联网
前端开发（2021届应届生）-金融事业部,上海,携程集团,18-20K·15薪,本科,在校/应届,互联网
数字前端工程师,上海·浦东新区·张江,灿芯半导体(上海...,5-10K·16薪,本科,在校/应届,电子/半导体/集成电路
前端开发工程师,上海·杨浦区·东外滩,XTransfer,10-15K·15薪,本科,在校/应届,互联网金融
web前端工程师,上海·普陀区·月星环球港,耀乘,10-15K,本科,在校/应届,医疗健康
急聘线上实习老师,上海·浦东新区·临港,掌门教育,5-10K,本科,在校/应届,互联网
【华为无线22届校招】web开发,上海·浦东新区·金桥,华为技术有限公司,15-20K·15薪,本科,在校/应届,计算机软件
web前端开发工程师,上海·浦东新区·张江,百度,13-20K·15薪,本科,在校/应届,互联网
前端开发工程师 （G21Q2001）,上海,Neo 智能经济,11-22K·17薪,本科,在校/应届,互联网
2022届VUE前端实习生[J508220],上海,驿申,2-4K·13薪,大专,在校/应届,互联网
前端开发工程师（2020/2021届）,上海·浦东新区·张江,群硕软件,9-12K·13薪,本科,在校/应届,企业服务
后端开发工程师-抖音电商,上海·杨浦区·五角场,北京字节跳动,20-30K,本科,在校/应届,移动互联网
前端开发实习生,上海·闵行区·浦江,勾芒信息,4-8K,本科,在校/应届,计算机软件
IT校招—研发类（前端）,上海·青浦区·青浦城区,中通吉网络技术,10-15K·13薪,本科,在校/应届,物流/仓储
前端开发工程师,上海·浦东新区·塘桥,蓝鸽集团,9-14K,本科,在校/应届,计算机软件
Flutter开发,上海·徐汇区·龙华,意果科技,1-2K,本科,在校/应届,移动互联网
Java开发工程师,上海,树维信息,9-14K·14薪,本科,在校/应届,计算机软件
前端开发工程师,上海·宝山区·友谊路,文邦,6-9K,本科,在校/应届,仪器仪表/工业自动化
JAVA开发工程师,上海·浦东新区·陆家嘴,宇信科技,8-12K,本科,在校/应届,计算机软件
前端开发工程师,上海·闵行区·浦江,契约锁,8-12K·16薪,本科,在校/应届,互联网
vue,上海·浦东新区·周浦,浦泷信息,2-5K,大专,在校/应届,计算机软件
项目实施工程师（2021届校招-上市公司）,上海·闵行区·浦江,泛微网络,7-8K·15薪,本科,在校/应届,计算机软件
招商银行实习生,上海,招商银行信用卡中心,8-13K,大专,在校/应届,互联网金融
前端校招,上海·浦东新区·张江,碰撞科技,5-10K·13薪,本科,在校/应届,计算机软件
网络安全工程师,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
阿里本地生活校园招聘营销技术部-Java研发,上海·普陀区·长征,阿里巴巴集团,15-30K·16薪,本科,在校/应届,互联网
web前端开发,上海·徐汇区·徐家汇,赢家教育,6-7K,大专,在校/应届,互联网金融
研发工程师-开发/算法 (21校招),上海·嘉定区·安亭,PonyAI小马智行,20-40K·16薪,本科,在校/应届,互联网
应届校招--JAVA开发/安卓/IOS开发/前端,上海·浦东新区·张江,兴业数金,13-25K,本科,在校/应届,互联网
前端开发实习生,上海·黄浦区·新天地,嗨普智能,4-6K,本科,在校/应届,计算机软件
Web前端开发工程师（2021届）,上海·浦东新区·张江,群硕软件,8-10K·13薪,本科,在校/应届,企业服务
后台开发工程师（2021届应届生）(J22077),上海·长宁区·北新泾,携程集团,20-21K·15薪,本科,在校/应届,互联网
交互设计师,上海·普陀区·长征,阿里集团,18-22K·14薪,本科,在校/应届,移动互联网
开发工程师,上海·浦东新区·张江,阿里云,20-21K·13薪,硕士,在校/应届,互联网
前端研发工程师,上海,意派科技,7-12K·13薪,本科,在校/应届,企业服务
web前端开发工程师,上海·普陀区·长风,上海地听,7-10K,本科,在校/应届,计算机软件
游戏开发工程师 【校招】,上海·长宁区·仙霞,友塔游戏,12-20K,本科,在校/应届,游戏
Java开发工程师,上海·浦东新区·张江,兴业数金,15-20K,本科,在校/应届,互联网
后端开发(字节秋招提前批),上海·闵行区·虹桥,北京字节跳动,15-30K,本科,在校/应届,移动互联网
Java软件工程师,上海·普陀区·长征,上海拉浪,7-11K,本科,在校/应届,电子商务
前端开发工程师（优秀应届生）,上海·宝山区·杨行,东硕科技,7-9K·13薪,本科,在校/应届,仪器仪表/工业自动化
软件开发工程师（应届毕业生）,上海·浦东新区·张江,上海博达,10-15K·14薪,本科,在校/应届,通信/网络设备
Java开发工程师,上海·浦东新区·张江,百度,15-21K·15薪,本科,在校/应届,互联网
Java Web后端开发（上海）,上海,上海格尔软件,8-13K,本科,在校/应届,信息安全
Web前端开发工程师,上海·闵行区·老闵行,微务智能,5-8K,本科,在校/应届,智能硬件
嵌入式软件开发工程师（2021年应届毕业生）,上海·浦东新区·张江,上海博达,10-15K,本科,在校/应届,通信/网络设备
初级开发工程师,上海·浦东新区·塘桥,兴业数金,10-15K·16薪,本科,在校/应届,互联网
运维工程师（实习生）,上海·徐汇区·漕河泾,宏时数据,5-7K,大专,在校/应届,计算机软件
后端研发,上海·闵行区·吴泾,ZStack,12-15K·15薪,本科,在校/应届,计算机软件
Java开发工程师,上海·浦东新区·联洋,阿里集团,15-25K·16薪,本科,在校/应届,移动互联网
web前端开发,上海·普陀区·曹杨,康朗家具,7-8K,大专,在校/应届,家具/家电/家居
全栈,上海·嘉定区·华亭,上海联影,16-21K·14薪,硕士,在校/应届,医疗设备/器械
Java开发工程师,上海·浦东新区·曹路,兴业数金,15-25K·18薪,本科,在校/应届,互联网
数仓工程师,上海·黄浦区·外滩,百联全渠道,10-15K·13薪,本科,在校/应届,O2O
前端开发工程师(P0),上海·黄浦区·人民广场,嗨普智能,4-6K,本科,在校/应届,计算机软件
蚂蚁金服22届校招Java实习,上海·浦东新区·陆家嘴,蚂蚁金服,15-30K,本科,在校/应届,互联网
Java,上海·浦东新区·陆家嘴,蚂蚁金服,15-30K,本科,在校/应届,互联网
前端/移动端开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,18-30K·16薪,本科,在校/应届,互联网
大数据BI工程师（应届生）,上海·浦东新区·航头,河姆渡,5-10K,本科,在校/应届,移动互联网
Web前端开发工程师,上海·徐汇区·徐家汇,猿晟,8-12K,本科,在校/应届,移动互联网
应届校招,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·16薪,本科,在校/应届,互联网
Java软件开发工程师,上海·浦东新区·张江,花旗金融,15-18K,本科,在校/应届,计算机软件
测试&开发工程师,上海·浦东新区·金桥,华为,15-25K·16薪,不限,在校/应届学历,计算机软件
测试&开发工程师,上海·浦东新区·金桥,华为,15-25K·16薪,不限,在校/应届学历,计算机软件
【上研】百度MEG商业前端FE2021校招招聘,上海·浦东新区·张江,百度,15-30K,不限,在校/应届学历,互联网
JAVA实习生,上海·浦东新区·陆家嘴,蚂蚁金服,6-10K,不限,在校/应届学历,互联网
Web开发工程师-校招,上海·普陀区·长风,上海地听,7-11K·13薪,本科,在校/应届,计算机软件
Java开发工程师,上海·黄浦区·外滩,百联全渠道,10-15K·13薪,本科,在校/应届,O2O
Web前端开发实习生,上海·闵行区·颛桥,ROSEWIL,6-7K,本科,在校/应届,计算机软件
BIM工程师（应届）,上海·徐汇区·漕河泾,信息产业电子设计院,6-10K,本科,在校/应届,工程施工
