开发工程师,上海·浦东新区·张江,阿里云,20-21K·13薪,硕士,在校/应届,互联网
操作系统开发工程师（应届）,上海·浦东新区·金桥,华为,20-21K,本科,在校/应届,计算机软件
【留学生招聘】5G协议开发工程师-上海,上海·浦东新区·金桥,华为技术有限公司,19-35K,本科,在校/应届,计算机软件
研发工程师JAVA,上海·浦东新区·世纪公园,阿里云,15-25K·15薪,硕士,在校/应届,互联网
ios开发,上海·浦东新区·张江,兴业数金,12-24K,本科,在校/应届,互联网
软件测试,上海·浦东新区·金桥,华为,20-40K·15薪,硕士,在校/应届,计算机软件
Linux软件开发（偏底层）,上海·杨浦区·中原,沈机智能,14-16K,硕士,在校/应届,仪器仪表/工业自动化
ASIC设计工程师（设计/验证）,上海,奥比中光,16-24K,硕士,在校/应届,智能硬件
嵌入式软件开发,上海·浦东新区·金桥,华为,20-40K·15薪,硕士,在校/应届,计算机软件
嵌入式软件开发,上海,华为技术有限公司,20-30K·16薪,本科,在校/应届,计算机软件
蚂蚁金服22届校招Java实习,上海·浦东新区·陆家嘴,蚂蚁金服,15-30K,本科,在校/应届,互联网
Java,上海·浦东新区·陆家嘴,蚂蚁金服,15-30K,本科,在校/应届,互联网
C++工程师,上海,擎朗智能,11-20K·15薪,本科,在校/应届,智能硬件
算法工程师 校招,上海·长宁区·仙霞,拼多多,20-40K·18薪,本科,在校/应届,移动互联网
运维开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,10-20K,本科,在校/应届,互联网
C开发工程师（应届）,上海·浦东新区·张江,兴业数金,15-20K,本科,在校/应届,互联网
Linux应用工程师,上海,芯讯通无线科技,8-13K,本科,在校/应届,通信/网络设备
助理软件开发工程师,上海,NIO蔚来,20-25K·15薪,硕士,在校/应届,汽车生产
Java研发工程师,上海,饿了么,19-20K,本科,在校/应届,O2O
项目工程师—校招,上海,上海海鼎,6-11K,本科,在校/应届,计算机软件
测试工程师,上海·杨浦区·东外滩,XTransfer,10-15K·15薪,本科,在校/应届,互联网金融
助理工程师,上海·浦东新区·张江,青藤,5-8K,本科,在校/应届,信息安全
测试工程师,上海·浦东新区·张江,科磊半导体设备技术,13-19K·13薪,硕士,在校/应届,其他行业
后端开发工程师,上海·浦东新区·张江,兴业数金,13-18K,本科,在校/应届,互联网
开放银行JAVA工程师（应届）,上海·浦东新区·张江,兴业数金,14-16K·16薪,本科,在校/应届,互联网
数据开发工程师,上海·浦东新区·曹路,兴业数金,13-18K,本科,在校/应届,互联网
JAVA开发工程师,上海·虹口区·虹口足球场,高顿教育集团,14-18K,本科,在校/应届,在线教育
Java开发工程师,上海·浦东新区·唐镇,兴业数金,15-20K,本科,在校/应届,互联网
技术支持应届生（IT金融行业）,上海·黄浦区·人民广场,杭州时代银通,7-10K·13薪,本科,在校/应届,计算机软件
软件开发&测试工程师,上海·浦东新区·金桥,华为,15-20K·16薪,本科,在校/应届,计算机软件
运维工程师,上海·静安区·火车站,Synology群晖,5-10K·13薪,本科,在校/应届,计算机软件
JAVA助理工程师(J10364),上海,锅圈供应链(总部),5-8K·13薪,本科,在校/应届,新零售
JAVA开发,上海·杨浦区·东外滩,XTransfer,10-15K·15薪,本科,在校/应届,互联网金融
Linux开发工程师（应届研究生、本科生）,上海·浦东新区·张江,上海博达,10-15K·14薪,本科,在校/应届,通信/网络设备
售前售后技术工程师,上海·静安区·火车站,Synology群晖,6-11K·13薪,本科,在校/应届,计算机软件
数据库助理工程师（应届生）,上海·浦东新区·航头,河姆渡,8-13K,本科,在校/应届,移动互联网
系统维护工程师,上海·浦东新区·唐镇,银联数据,10-15K·13薪,本科,在校/应届,数据服务
初级开发工程师,上海·浦东新区·塘桥,兴业数金,10-15K·16薪,本科,在校/应届,互联网
2021校招-IT生产支持工程师,上海·浦东新区·临港,特斯拉 Tesla,8-10K,本科,在校/应届,汽车生产
校招-音视频C++开发工程师,上海·杨浦区·五角场,声网Agora,12-24K·15薪,不限,在校/应届学历,移动互联网
2021校招-桌面支持工程师,上海·浦东新区·临港,特斯拉 Tesla,8-10K,本科,在校/应届,汽车生产
测试&开发工程师,上海·浦东新区·金桥,华为,15-25K·16薪,不限,在校/应届学历,计算机软件
自动驾驶算法工程师,上海·长宁区·古北,苏州智加科技有限...,25-50K,硕士,在校/应届,计算机软件
通用软件开发工程师,上海·浦东新区·金桥,华为,15-30K,本科,在校/应届,计算机软件
通用软件工程师,上海·浦东新区·金桥,华为,15-25K,本科,在校/应届,计算机软件
蚂蚁金服校招-软件开发、算法、测试工程师,上海·浦东新区·陆家嘴,蚂蚁胜信,25-40K·16薪,本科,在校/应届,移动互联网
数据通信工程师,上海·浦东新区·金桥,华为,15-30K·16薪,本科,在校/应届,计算机软件
C++软件开发工程师,上海,思勰投资,15-30K,本科,在校/应届,基金
Java,上海·浦东新区·陆家嘴,蚂蚁金服,15-25K,本科,在校/应届,互联网
Java开发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,15-25K,本科,在校/应届,互联网
Java开发工程师,上海,华为,13-25K,本科,在校/应届,计算机软件
安全研究（二进制方向）（校招）,上海·虹口区·江湾,犀点意象,11-22K,大专,在校/应届,信息安全
中间件java研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·20薪,本科,在校/应届,移动互联网
华为5G通用软件工程师 C++,上海·浦东新区·金桥,华为,20-30K,硕士,在校/应届,计算机软件
数字政务中台Java研发工程师,上海·浦东新区·联洋,阿里巴巴集团,18-25K·13薪,本科,在校/应届,互联网
21年应届校招生-软件工程师,上海·浦东新区·陆家嘴,蚂蚁金服,15-25K·16薪,本科,在校/应届,互联网
软件开发工程师,上海·浦东新区·金桥,华为,15-30K·14薪,本科,在校/应届,计算机软件
软件开发工程师【无线】,上海·浦东新区·金桥,华为,15-30K·14薪,本科,在校/应届,计算机软件
中间件golang研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·20薪,本科,在校/应届,移动互联网
中间件golang研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·20薪,本科,在校/应届,移动互联网
测试开发,上海·浦东新区·世纪公园,支付宝口碑,25-40K,本科,在校/应届,O2O
华为无线网络产品线软件开发工程师(校招),上海,华为,20-30K·14薪,本科,在校/应届,计算机软件
中间件java研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·20薪,本科,在校/应届,移动互联网
中间件研发工程师,上海·浦东新区·陆家嘴,蚂蚁金服,20-30K·20薪,本科,在校/应届,移动互联网
Java开发工程师,上海·普陀区·长征,口碑,20-25K·15薪,本科,在校/应届,O2O
测试开发工程师,上海·普陀区·长征,饿了么,20-24K·16薪,本科,在校/应届,O2O
IoT小程序容器开发,上海·浦东新区·陆家嘴,蚂蚁金服,17-30K·16薪,本科,在校/应届,互联网
算法工程师,上海·长宁区·古北,拼多多,16-32K,不限,在校/应届学历,移动互联网
java研发工程师,上海·浦东新区·联洋,阿里巴巴集团,18-30K·13薪,本科,在校/应届,互联网
智能驾驶系统工程师,上海·徐汇区·漕河泾,经纬恒润,16-21K,硕士,在校/应届,电子/半导体/集成电路
软件开发工程师,上海·浦东新区·陆家嘴,支付宝,20-40K·16薪,不限,在校/应届学历,移动互联网
网络安全工程师,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
数据开发,上海·杨浦区·五角场,bilibili,15-30K,本科,在校/应届,互联网
芯片预研工程师,上海,华为技术有限公司,20-25K·16薪,本科,在校/应届,计算机软件
嵌入式软件开发,上海·浦东新区·金桥,华为,13-26K,本科,在校/应届,计算机软件
软件测试工程师（应届）,上海,格尔软件,8-12K,本科,在校/应届,信息安全
